维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_report_status,str,Advance报告调用状态,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_inq_is_white,double,是否为Advance查询白户,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_1h,double,身份证号在过去1小时内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_3h,double,身份证号在过去3小时内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_6h,double,身份证号在过去6小时内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_12h,double,身份证号在过去12小时内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_24h,double,身份证号在过去24小时内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_3d,double,身份证号在过去3天内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_7d,double,身份证号在过去7天内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_14d,double,身份证号在过去14天内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_21d,double,身份证号在过去21天内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_30d,double,身份证号在过去30天内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance多头,idn_adv_id_inq_pcnt_60d,double,身份证号在过去60天内的查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
