维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt,double,决策点前最近1次CBI历史记录中adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adakami_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天adakami的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt,double,决策点前最近1次CBI历史记录中kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_kreditpintar_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天kreditpintar的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt,double,决策点前最近1次CBI历史记录中easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_easycash_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天easycash的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt,double,决策点前最近1次CBI历史记录中rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt,double,决策点前最近1次CBI历史记录中danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
