维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_report_status,str,FDC报告调用状态,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_is_white,double,是否为FDC放款白户,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_name_orig_cnt,double,原始用户名出现的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_name_upper_cnt,double,用户名全大写形式出现的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_name_reg_cnt,double,正则化后的用户名出现的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_tax_no_cnt,double,用户税号出现的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_ph_no_cnt,double,用户手机号出现的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_email_cnt,double,用户邮箱出现的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_email_inc_yh,double,包含yahoo域名的用户邮箱数量,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_email_inc_gm,double,包含gmail域名的用户邮箱数量,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_is_syariah,double,贷款是否有伊斯兰金融,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_ref_cnt,double,被其他用户引用关联的次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_cs_inc_ins,double,用户完成来源为保险的数量,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_cs_inc_desk,double,用户完成来源为柜台的数量,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_has_coll,double,用户是否有抵押物,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_has_coll_gr,double,用户是否有担保人,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_coll_cnt,double,用户抵押物的数量,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_income_max,double,用户收入的最大值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_income_min,double,用户收入的最小值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_income_avg,double,用户收入的平均值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_income_med,double,用户收入的中位数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_user_type_company,double,用户类型为公司的数量,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_company_income_max,double,公司类型用户的收入最大值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_company_income_min,double,公司类型用户的收入最小值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_company_income_avg,double,公司类型用户的收入平均值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_company_income_med,double,公司类型用户的收入中位数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_plt_rn_max,double,同一平台最大放款次数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_plt_rn_gt1_pcnt,double,放款>1次的平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pcnt,double,放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t1_pcnt,double,市场规模为t1的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t2_pcnt,double,市场规模为t2的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t3_pcnt,double,市场规模为t3的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_t4_pcnt,double,市场规模为t4的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_tier_max,double,放款平台对应的市场规模最大值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_tier_min,double,放款平台对应的市场规模最小值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol_tier_avg,double,放款平台对应的市场规模平均值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t1_pcnt,double,风险等级为t1的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t2_pcnt,double,风险等级为t2的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t3_pcnt,double,风险等级为t3的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t4_pcnt,double,风险等级为t4的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_t5_pcnt,double,风险等级为t5的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_tier_max,double,放款平台对应的风险等级最大值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_tier_min,double,放款平台对应的风险等级最小值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_risk_tier_avg,double,放款平台对应的风险等级平均值,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_prod_cash_pcnt,double,产品类型为类尊享贷的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_prod_fancy_pcnt,double,产品类型为类畅享贷的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol12_risk123_pcnt,double,规模大且风险低的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_vol34_risk45_pcnt,double,规模小且风险高的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_plt_inc_adkm,double,放款平台包含ADAKAMI,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_plt_inc_esch,double,放款平台包含EASYCASH,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_plt_inc_kdpt,double,放款平台包含KREDITPINTAR,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_pl_pcnt,double,借款类型为先享后付的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_cl_pcnt,double,借款类型为现金分期的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_type_oth_pcnt,double,借款类型为其他的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_l_pcnt,double,借款状态为已结清的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_o_pcnt,double,借款状态为在贷的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_status_w_pcnt,double,借款状态为核销的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_l_pcnt,double,先享后付且已结清的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_o_pcnt,double,先享后付且在贷的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_pl_status_w_pcnt,double,先享后付且核销的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_status_l_pcnt,double,现金分期且已结清的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC放款,idn_fdc_loan_cl_status_o_pcnt,double,现金分期且在贷的放款平台数,,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
