维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_report_status,str,izi查询报告调用状态,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_is_white,double,是否为izi查询白户,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_24h,double,过去24小时内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_3d,double,过去3天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_7d,double,过去7天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_14d,double,过去14天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_21d,double,过去21天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_30d,double,过去30天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_60d,double,过去60天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_90d,double,过去90天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_180d,double,过去180天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_max_per_day_360d,double,过去360天内最大每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_24h,double,过去24小时内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_3d,double,过去3天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_7d,double,过去7天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_14d,double,过去14天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_21d,double,过去21天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_30d,double,过去30天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_60d,double,过去60天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_90d,double,过去90天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_180d,double,过去180天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_avg_per_day_360d,double,过去360天内平均每日查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_daydiff_max,double,最大查询时间差（天）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_a_daydiff_max,double,类型A的最大查询时间差（天）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_b_daydiff_max,double,类型B的最大查询时间差（天）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_daydiff_avg,double,平均查询时间差（天）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_a_daydiff_avg,double,类型A的平均查询时间差（天）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_inq_b_daydiff_avg,double,类型B的平均查询时间差（天）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_24h,double,过去24小时内的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_cnt_24h,double,过去24小时内类型A的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_cnt_24h,double,过去24小时内A1平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_cnt_24h,double,过去24小时内A2平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a3_cnt_24h,double,过去24小时内A3平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a4_cnt_24h,double,过去24小时内A4平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_cnt_24h,double,过去24小时内类型B的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_pcnt_24h,double,过去24小时内涉及的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_pcnt_24h,double,过去24小时内类型A查询的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_pcnt_24h,double,过去24小时内A1平台的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_pcnt_24h,double,过去24小时内A2平台的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
