维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_report_status,str,izi定制特征报告调用状态,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_creditscore,double,V3版信用评分,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_14d,double,A分类下身份证号多头0-14天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_180d,double,A分类下身份证号多头0-180天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_30d,double,A分类下身份证号多头0-30天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_360d,double,A分类下身份证号多头0-360天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_3d,double,A分类下身份证号多头0-3天查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_60d,double,A分类下身份证号多头0-60天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_720d,double,A分类下身份证号多头0-720天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_7d,double,A分类下身份证号多头0-7天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_0_90d,double,A分类下身份证号多头0-90天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_120_180d,double,A分类下身份证号多头120-180天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_14_21d,double,A分类下身份证号多头14-21天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_14_28d,double,A分类下身份证号多头14-28天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_180_240d,double,A分类下身份证号多头180-240天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_180_270d,double,A分类下身份证号多头180-270天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_180_360d,double,A分类下身份证号多头180-360天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_21_28d,double,A分类下身份证号多头21-28天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_270_360d,double,A分类下身份证号多头270-360天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_28_42d,double,A分类下身份证号多头28-42天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_30_60d,double,A分类下身份证号多头30-60天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_360_540d,double,A分类下身份证号多头360-540天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_360_720d,double,A分类下身份证号多头360-720天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_3_6d,double,A分类下身份证号多头3-6天查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_42_56d,double,A分类下身份证号多头42-57天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_540_720d,double,A分类下身份证号多头540-720天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_60_120d,double,A分类下身份证号多头60-120天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_60_90d,double,A分类下身份证号多头60-90天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_6_9d,double,A分类下身份证号多头6-9天查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_7_14d,double,A分类下身份证号多头7-14天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_90_120d,double,A分类下身份证号多头90-120天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_90_180d,double,A分类下身份证号多头90-180天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_ii_9_12d,double,A分类下身份证号多头9-12天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_14d,double,A分类下手机号多头0-14天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_180d,double,A分类下手机号多头0-180天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_30d,double,A分类下手机号多头0-30天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_360d,double,A分类下手机号多头0-360天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_3d,double,A分类下手机号多头0-3天查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_60d,double,A分类下手机号多头0-60天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_720d,double,A分类下手机号多头0-720天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_7d,double,A分类下手机号多头0-7天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_0_90d,double,A分类下手机号多头0-90天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_120_180d,double,A分类下手机号多头120-180天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_14_21d,double,A分类下手机号多头14-21天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_14_28d,double,A分类下手机号多头14-28天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_180_240d,double,A分类下手机号多头180-240天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_180_270d,double,A分类下手机号多头180-270天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_180_360d,double,A分类下手机号多头180-360天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_21_28d,double,A分类下手机号多头21-28天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_270_360d,double,A分类下手机号多头270-360天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_28_42d,double,A分类下手机号多头28-42天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_30_60d,double,A分类下手机号多头30-60天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_360_540d,double,A分类下手机号多头360-540天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_360_720d,double,A分类下手机号多头360-720天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_3_6d,double,A分类下手机号多头3-6天查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_42_56d,double,A分类下手机号多头42-57天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_540_720d,double,A分类下手机号多头540-720天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_60_120d,double,A分类下手机号多头60-120天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_60_90d,double,A分类下手机号多头60-90天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_6_9d,double,A分类下手机号多头6-9天查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_7_14d,double,A分类下手机号多头7-14天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_90_120d,double,A分类下手机号多头90-120天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_90_180d,double,A分类下手机号多头90-180天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_pi_9_12d,double,A分类下手机号多头9-12天内查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_14d,double,A分类下身份证号多头0-14天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_180d,double,A分类下身份证号多头0-180天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_30d,double,A分类下身份证号多头0-30天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_360d,double,A分类下身份证号多头0-360天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_3d,double,A分类下手机号多头0-3天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_60d,double,A分类下身份证号多头0-60天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_720d,double,A分类下身份证号多头0-720天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_7d,double,A分类下身份证号多头0-7天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_0_90d,double,A分类下身份证号多头0-90天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_120_180d,double,A分类下身份证号多头120-180天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_14_21d,double,A分类下身份证号多头14-21天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_14_28d,double,A分类下身份证号多头14-28天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_180_240d,double,A分类下身份证号多头180-240天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_180_270d,double,A分类下身份证号多头180-270天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_180_360d,double,A分类下身份证号多头180-360天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_21_28d,double,A分类下身份证号多头21-28天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_270_360d,double,A分类下身份证号多头270-360天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_28_42d,double,A分类下身份证号多头28-42天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_30_60d,double,A分类下身份证号多头30-60天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_360_540d,double,A分类下身份证号多头360-540天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_360_720d,double,A分类下身份证号多头360-720天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_3_6d,double,A分类下身份证号多头3-6天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_42_56d,double,A分类下身份证号多头42-56天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_540_720d,double,A分类下身份证号多头540-720天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_60_120d,double,A分类下身份证号多头60-120天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_60_90d,double,A分类下身份证号多头60-90天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_6_9d,double,A分类下身份证号多头6-9天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_7_14d,double,A分类下身份证号多头7-14天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_90_120d,double,A分类下身份证号多头90-120天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_90_180d,double,A分类下身份证号多头90-180天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_uii_9_12d,double,A分类下身份证号多头9-12天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_14d,double,A分类下手机号多头0-14天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_180d,double,A分类下手机号多头0-180天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_30d,double,A分类下手机号多头0-30天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_360d,double,A分类下手机号多头0-360天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_3d,double,A分类下手机号多头0-3天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_60d,double,A分类下手机号多头0-60天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_720d,double,A分类下手机号多头0-720天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_7d,double,A分类下手机号多头0-7天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_0_90d,double,A分类下手机号多头0-90天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_120_180d,double,A分类下手机号多头120-180天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_14_21d,double,A分类下手机号多头14-21天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_14_28d,double,A分类下手机号多头14-28天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_180_240d,double,A分类下手机号多头180-240天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_180_270d,double,A分类下手机号多头180-270天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_180_360d,double,A分类下手机号多头180-360天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_21_28d,double,A分类下手机号多头21-28天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_270_360d,double,A分类下手机号多头270-360天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_28_42d,double,A分类下手机号多头28-42天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_30_60d,double,A分类下手机号多头30-60天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_360_540d,double,A分类下手机号多头360-540天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_360_720d,double,A分类下手机号多头360-720天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_3_6d,double,A分类下手机号多头3-6天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_42_56d,double,A分类下手机号多头42-56天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_540_720d,double,A分类下手机号多头540-720天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi定制特征,idn_icf_a_upi_60_120d,double,A分类下手机号多头60-120天查询机构数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
