维度细分,变量名,数值类型,解释,是否上线,上线时间,备注
izi设备详情,idn_idd_battery,double,电池大小(mAh前的数值)，可能为空,1,2025-07,
izi设备详情,idn_idd_cpu,str,cpu参数，可能为空,1,2025-07,
izi设备详情,idn_idd_current_price,double,当前价格，可能为空,1,2025-07,
izi设备详情,idn_idd_device_name,str,设备名称，可能为空,1,2025-07,
izi设备详情,idn_idd_gpu,str,gpu参数，可能为空,1,2025-07,
izi设备详情,idn_idd_display,str,屏幕参数，可能为空,1,2025-07,
izi设备详情,idn_idd_display_size,double,屏幕尺寸，可能为空,1,2025-07,
izi设备详情,idn_idd_memory,str,内存配置，可能为空,1,2025-07,
izi设备详情,idn_idd_memory_size,double,内存大小(GB)，可能为空,1,2025-07,
izi设备详情,idn_idd_os,str,操作系统版本，可能为空,1,2025-07,
izi设备详情,idn_idd_release_date,str,发布日期，可能为空,1,2025-07,
izi设备详情,idn_idd_release_date_diff,double,发布日期距离决策日期天数差，可能为空,1,2025-07,
izi设备详情,idn_idd_release_price,double,发布价格，可能为空,1,2025-07,
izi设备详情,idn_idd_soc,str,芯片组参数，可能为空,1,2025-07,
izi设备详情,idn_idd_storage,str,存储参数，可能为空,1,2025-07,
