维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,官方文档
印尼经济情况,idn_trd_fin_health_level,str,个人经济情况,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_fin_health_level_int,str,个人经济情况，去除L转为int,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_cnt_vehicle,double,机动车数量,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_last_vehicle_model,str,机动车型号,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_last_vehicle_brand,str,机动车品牌,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_vehicle_type,str,机动车分类,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_last_vehicle_color,str,机动车颜色,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_last_vehicle_year,str,机动车年份,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_last_vehicle_year_diff,str,机动车年份距决策时间年数差,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_device_price_positioning,double,设备价格区间，去除L转为int,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_cnt_device,double,设备数量,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_modelyear,double,设备年份,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_modelyear_diff,double,设备年份距决策时间年数差,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_salary_level_region,double,收入处本地区水平，去除M转为int,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_range_salary,str,工资缴费金额等级,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_salary_level_age_group,double,收入处同年龄段水平，去除M转为int,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
印尼经济情况,idn_trd_over_average_monthly_salary,str,是否超平均工资,1,2025-07,-999数据库查无，-1111有记录但无法计算,,
