维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_succ_cnt_1d,double,0-8点总登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pwd_succ_cnt_1d,double,0-8点密码登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_succ_cnt_180d,double,0-8点总登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pwd_succ_cnt_180d,double,0-8点密码登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_succ_cnt_90d,double,0-8点总登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pwd_succ_cnt_90d,double,0-8点密码登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_succ_cnt_30d,double,0-8点总登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_12to19_succ_cnt_180d,double,12-19点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pwd_succ_cnt_30d,double,0-8点密码登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_succ_cnt_7d,double,0-8点总登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_succ_cnt_15d,double,0-8点总登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_8to11_succ_cnt_180d,double,8-11点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pwd_succ_cnt_7d,double,0-8点密码登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pwd_succ_cnt_15d,double,0-8点密码登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_0to8_succ_cnt_90d,double,0-8点成功登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_0to8_succ_cnt_180d,double,0-8点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_0to8_succ_cnt_30d,double,0-8点成功登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_0to8_succ_cnt_15d,double,0-8点成功登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_0to8_succ_cnt_7d,double,0-8点成功登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_20to24_succ_cnt_180d,double,20-24点成功登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_0to8_succ_cnt_1d,double,0-8点成功登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_sms_succ_cnt_180d,double,0-8点短信登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_sms_succ_cnt_1d,double,0-8点短信登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_sms_succ_cnt_90d,double,0-8点短信登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_sms_succ_cnt_30d,double,0-8点短信登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_sms_succ_cnt_7d,double,0-8点短信登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_sms_succ_cnt_15d,double,0-8点短信登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登录行为,bill_login_pla_succ_cnt_180d,double,0-8点免密登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_tot_cnt,double,过去7天总还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_advance_cnt,double,过去7天提前还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p7d_norm_cnt,double,过去7天正常还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
