维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_1d,double,近1天催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_7d,double,近7天催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_15d,double,近15天催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_30d,double,近30天催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_90d,double,近90天催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_180d,double,近180天催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_cnt_all,double,历史全量催记次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_1d,double,近1天催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_7d,double,近7天催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_15d,double,近15天催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_30d,double,近30天催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_90d,double,近90天催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_180d,double,近180天催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_contact_mob_cnt_all,double,历史全量催记联系电话个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_1d,double,近1天催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_7d,double,近7天催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_15d,double,近15天催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_30d,double,近30天催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_90d,double,近90天催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_180d,double,近180天催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_22_cnt_all,double,历史全量催记联系电话类型为本人的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_1d,double,近1天催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_7d,double,近7天催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_15d,double,近15天催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_30d,double,近30天催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_90d,double,近90天催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_180d,double,近180天催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_30_cnt_all,double,催记联系电话类型为亲属的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
