维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_cred_to_ord_mins,double,动支时间距离授信时间差(分钟),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_reg_to_cred_mins,double,授信成功时间距离注册时间差(分钟),1,2025-04, ads_factor_idn_bvr_group_withdraw_df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
授信行为,idn_bvr_reg_to_latest_cred_mins,double,最近一笔授信时间距离注册时间差(分钟),1,2025-08, ads_factor_idn_bvr_group_apply_df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_reg_to_ord_mins,double,动支时间距离注册时间差(分钟),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_cred_utilization_pct,double,额度使用率：申请金额 / 下单时当前用户授信总额度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_avail_utilization_pct,double,额度使用率：下单时本次已使用额度 / (下单时本次已使用额度 + 用户剩余可用额度),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_ord_time_bin,double,动支时间段,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_reg_time_bin,double,注册时间段,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_cred_first_succ_time_bin,double,首次授信成功时间段,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_cred_last_succ_time_bin,double,末次授信成功时间段,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_cred_first_fail_time_bin,double,首次授信失败时间段,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_cred_last_fail_time_bin,double,末次授信失败时间段,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_cred_first_succ_order_days,double,首次授信成功距动支天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_cred_last_succ_order_days,double,末次授信成功距动支天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_cred_first_fail_order_days,double,首次授信失败距动支天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_cred_last_fail_order_days,double,末次授信失败距动支天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_reg_cred_first_succ_days,,注册距离首次授信成功天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_reg_cred_last_succ_days,double,注册距离末次授信成功天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_reg_cred_first_fail_days,double,注册距离首次授信失败天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_reg_cred_last_fail_days,double,注册距离末次授信失败天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_first_verify_days,double,最早一次绑卡验证距决策时间天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_last_verify_days,double,最近一次绑卡验证距决策时间天数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_bank_cnt,double,绑卡验证次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_card_cnt,double,绑卡所在银行数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_verify_cnt,double,绑定银行卡数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_verify_succ_cnt,double,绑卡验证成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_verify_fail_cnt,double,绑卡验证失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为,idn_bvr_bc_verify_other_cnt,double,绑卡验证其他次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_succ_cnt_1d,double,总登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_succ_cnt_7d,double,总登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_succ_cnt_15d,double,总登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_succ_cnt_30d,double,总登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_succ_cnt_90d,double,总登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_succ_cnt_180d,double,总登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
