维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_driver_license_cnt,double,最近1年驾照数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_cnt,double,最近1年使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_cnt,double,最近1年使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_ip_cnt,double,最近1年使用wifiip去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_cnt,double,最近1年使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_days_cnt,double,设备最早最晚登录日期差,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen,double,最近1年使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen_1d,double,最近1天使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen_7d,double,最近7天使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen_14d,double,最近14天使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen_30d,double,最近30天使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen_60d,double,最近60天使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_distancen_90d,double,最近90天使用GPS移动距离之和,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_user_logon_cnt,double,最近1年登录次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_user_logon_ratio,double,平均每个登录日登录次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list,double,最近1年使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set,double,最近1年使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list_1d,double,最近1天使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set_1d,double,最近1天使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list_7d,double,最近7天使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set_7d,double,最近7天使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list_14d,double,最近14天使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set_14d,double,最近14天使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list_30d,double,最近30天使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set_30d,double,最近30天使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list_60d,double,最近60天使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set_60d,double,最近60天使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_list_90d,double,最近90天使用设备ID数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_set_90d,double,最近90天使用设备ID去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list,double,最近1年使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set,double,最近1年使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_1d,double,最近1天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_1d,double,最近1天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_7d,double,最近7天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_7d,double,最近7天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_14d,double,最近14天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_14d,double,最近14天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_30d,double,最近30天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_30d,double,最近30天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_60d,double,最近60天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_60d,double,最近60天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_90d,double,最近90天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_90d,double,最近90天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list,double,最近1年使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set,double,最近1年使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_1d,double,最近1天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_1d,double,最近1天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_7d,double,最近7天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_7d,double,最近7天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_14d,double,最近14天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_14d,double,最近14天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_30d,double,最近30天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_30d,double,最近30天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_60d,double,最近60天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_60d,double,最近60天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_90d,double,最近90天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_90d,double,最近90天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt,double,最近1年通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
