维度细分,变量名,数值类型,解释,是否上线,上线时间,备注
埋点行为（离线）,idn_trk_ktp_page_enter_app_gap_30d_off,double,过去30天KTP进入页面最早最晚时间差,1,2025-06,
埋点行为（离线）,idn_trk_contact_page_enter_app_gap_30d_off,double,过去30天合同进入页面最早最晚时间差,1,2025-06,
埋点行为（离线）,idn_trk_enter_liveness_p_app_gap_30d_off,double,过去30天活体进入页面最早最晚时间差,1,2025-06,
埋点行为（离线）,idn_trk_loan_page_slide_amount_button_app_gap_30d_off,double,过去30天借款金额页面最早最晚时间差,1,2025-06,
埋点行为（离线）,idn_trk_loan_page_click_repay_plan_app_gap_30d_off,double,过去30天还款计划页面最早最晚时间差,1,2025-06,
埋点行为（离线）,idn_trk_liveness_p_click_button_app_gap_30d_off,double,过去30天活体点击提交页面最早最晚时间差,1,2025-06,
埋点行为（离线）,idn_trk_ktp_page_enter_app_cnt_30d_off,double,过去30天KTP进入页面打开次数,1,2025-06,
埋点行为（离线）,idn_trk_contact_page_enter_app_cnt_30d_off,double,过去30天合同进入页面打开次数,1,2025-06,
埋点行为（离线）,idn_trk_enter_liveness_p_app_cnt_30d_off,double,过去30天活体进入页面打开次数,1,2025-06,
埋点行为（离线）,idn_trk_loan_page_slide_amount_button_app_cnt_30d_off,double,过去30天借款金额页面打开次数,1,2025-06,
埋点行为（离线）,idn_trk_loan_page_click_repay_plan_app_cnt_30d_off,double,过去30天还款计划页面打开次数,1,2025-06,
埋点行为（离线）,idn_trk_liveness_p_click_button_app_cnt_30d_off,double,过去30天活体点击提交页面打开次数,1,2025-06,
埋点行为（离线）,idn_trk_ktp_page_enter_app_min_cnt_30d_off,double,过去30天KTP进入页面按分钟计打开次数,1,2025-06,
埋点行为（离线）,idn_trk_contact_page_enter_app_min_cnt_30d_off,double,过去30天合同进入页面按分钟计打开次数,1,2025-06,
埋点行为（离线）,idn_trk_enter_liveness_p_app_min_cnt_30d_off,double,过去30天活体进入页面按分钟计打开次数,1,2025-06,
埋点行为（离线）,idn_trk_loan_page_slide_amount_button_app_min_cnt_30d_off,double,过去30天借款金额页面按分钟计打开次数,1,2025-06,
埋点行为（离线）,idn_trk_loan_page_click_repay_plan_app_min_cnt_30d_off,double,过去30天还款计划页面按分钟计打开次数,1,2025-06,
埋点行为（离线）,idn_trk_liveness_p_click_button_app_min_cnt_30d_off,double,过去30天活体点击提交页面按分钟计打开次数,1,2025-06,
埋点行为（实时）,idn_trk_ktp_page_enter_app_gap_1d_realtime,double,过去1天KTP进入页面最早最晚时间差,1,2025-06,按DATE粒度过去1天，实际是2天
