维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_gender,double,申请人性别（0为女性，1为男性）,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_age,double,申请人年龄,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_children_count,double,申请人子女数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_education,double,申请人教育水平,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_marriage,double,申请人婚姻状况,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_dlicense_is_valid,double,申请人驾照是否有效,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_monthly_income,double,申请人月收入,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_income_type,double,申请人收入类型,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_work_time,double,申请人工作时长,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_job_type,double,申请人职业类型,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_job_type_group,double,申请人职业类型分组,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_job_payday,double,申请人发薪日,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_job_paytype,double,申请人薪资支付方式,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_reg_ph_len,double,注册手机号长度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_oth_ph_len,double,备用手机号长度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_wa_ph_len,double,WhatsApp手机号长度,1,2025-04,KrediOne不再采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c1_ph_len,double,联系人1手机号长度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c2_ph_len,double,联系人2手机号长度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_least_ph_len,double,所有手机号中最短的长度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_wa_is_reg_ph,double,WhatsApp号码是否与注册手机号相同,1,2025-04,KrediOne不再采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_wa_is_oth_ph,double,WhatsApp号码是否与备用手机号相同,1,2025-04,KrediOne不再采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c1_is_oth_ph,double,联系人1手机号是否与备用手机号相同,1,2025-04,建议使用v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c2_is_oth_ph,double,联系人2手机号是否与备用手机号相同,1,2025-04,建议使用v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c2_is_c1,double,联系人2手机号是否与联系人1手机号相同,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_oth_ph_is_not_rep,double,备用手机号是否未重复,1,2025-04,建议使用v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_reg_ph_operator_risk,double,注册手机号运营商风险等级,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_oth_ph_operator_risk,double,备用手机号运营商风险等级,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c1_ph_operator_risk,double,联系人1手机号运营商风险等级,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c2_ph_operator_risk,double,联系人2手机号运营商风险等级,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_is_c1,double,母亲姓名是否与联系人1姓名相同,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_is_c2,double,母亲姓名是否与联系人2姓名相同,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_c1_name_is_c2,double,联系人1姓名是否与联系人2姓名相同,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_total_len,double,母亲姓名总长度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_words_len,double,母亲姓名中单词数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_letter_len,double,母亲姓名中字母总数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_upper_len,double,母亲姓名中大写字母数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自填信息,idn_apl_mother_name_lower_len,double,母亲姓名中小写字母数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
