维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_boot_time,double,设备开机时间,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_active_time,double,设备活动时间(小时),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_rooted,double,设备是否root,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_is_emulator,double,设备是否是模拟器,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_allow_mock_location,double,设备是否允许模拟位置,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_total_memory,double,设备总内存(MB),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_available_memory,double,设备有效内存(MB),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_available_memory_pct,double,设备有效内存占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_total_external_storage,double,设备总外部存储(G),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_available_external_storage,double,设备可用外部存储(G),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_available_external_stg_pct,double,设备可用外部存储占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_total_internal_storage,double,设备总内部存储(G),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_available_internal_storage,double,设备可用的内部存储(G),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_available_internal_stg_pct,double,设备可用的内部存储占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_max_heap_size,double,设备最大堆大小(MB),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_battery_level,double,设备电池用量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_battery_temperature,double,设备电池温度(℃),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_battery_status,str,设备电池状态,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_brightness,double,设备亮度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_cpu_frequency,double,设备处理频率,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_font_hash,double,设备字体哈希,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_heap_allocation_percent,double,设备堆分配百分比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_heap_used_percent,double,设备堆使用百分比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_screen_resolution,double,设备屏幕分辨率(长×宽),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_screen_aspect,double,设备屏幕分辨率(长:宽),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_screen_height,double,设备屏幕分辨率(长度),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_screen_width,double,设备屏幕分辨率(宽度),1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_release_version,str,设备发布版本,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_release_version_int,double,设备发布版本,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_brand,str,设备品牌,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_model,str,设备手机型号,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_hardware,str,设备硬件,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_kernel_version,str,设备内核版本,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_language,str,设备语言,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_time_zone,str,设备时区,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_rssi,double,设备信号强度,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_cell_ip,str,设备信号ip,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_network_type,double,设备网络类型,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_network_country_iso,str,设备网络城市,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_mcc,double,设备移动国家码,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_mnc,double,设备移动网络号码,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_network_operator_name,str,设备运营商名称,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_phone_type,str,设备电话类型,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_version_name,str,设备版本号,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_sim_country_iso,str,设备sim卡国家,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_sim_operator,double,设备sim卡运营商代码,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device,idn_dev_sim_operator_name,str,设备sim卡运营商,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
